                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     62,               0.025864,               0.024322,               0.033311,              0.0017532,                0.90342,                0.91927,                0.95091,                0.75175,                 0.8942,                0.90969,                0.93407,                0.71045,               0.023155,               0.021483,               0.026252,              0.0015975,              0.0087922,              0.0087922,              0.0087922
                     63,               0.026096,               0.024225,               0.033766,              0.0017015,                0.90364,                0.91365,                0.94482,                  0.746,                0.89186,                0.90357,                0.93029,                0.70066,               0.022669,                0.02106,               0.026823,              0.0015563,              0.0087724,              0.0087724,              0.0087724
                     64,               0.025846,               0.024064,               0.033447,               0.001597,                0.91973,                0.90548,                0.94852,                0.75802,                 0.9092,                0.89471,                0.93539,                0.72063,                0.02239,               0.021069,               0.026387,              0.0012236,              0.0087526,              0.0087526,              0.0087526
                     65,               0.025689,               0.023918,               0.033327,              0.0016234,                0.90947,                0.91575,                0.94824,                0.75893,                0.89832,                0.90352,                0.93216,                0.71476,               0.022275,               0.020848,               0.025819,              0.0017654,              0.0087328,              0.0087328,              0.0087328
                     66,               0.025546,               0.023835,               0.033418,              0.0017196,                0.92431,                0.90751,                0.94995,                0.75747,                0.91279,                0.89368,                0.93132,                0.72113,               0.022314,               0.020572,               0.026183,              0.0011741,               0.008713,               0.008713,               0.008713
                     67,               0.025452,               0.023488,               0.032616,              0.0015181,                0.92863,                0.90145,                0.95072,                0.75503,                 0.9092,                0.90343,                0.93728,                0.72222,               0.022478,               0.020407,               0.026558,              0.0015057,              0.0086932,              0.0086932,              0.0086932
                     68,               0.025602,               0.024033,               0.032285,              0.0015168,                0.92314,                0.90848,                0.95079,                0.75552,                0.91691,                0.90068,                0.93895,                 0.7199,               0.022224,               0.020294,               0.025696,             0.00083159,              0.0086734,              0.0086734,              0.0086734
                     69,               0.025513,               0.023479,               0.032716,              0.0016422,                0.92779,                0.89944,                0.94989,                0.75983,                0.92312,                0.88763,                0.93612,                0.71358,               0.021831,               0.020515,               0.025845,              0.0011654,              0.0086536,              0.0086536,              0.0086536
                     70,               0.025341,                0.02374,               0.032961,              0.0015979,                0.91847,                0.91143,                0.95229,                0.76496,                0.90982,                0.90208,                0.93991,                0.73009,               0.022103,               0.020577,               0.025439,             0.00098313,              0.0086338,              0.0086338,              0.0086338
                     71,               0.025655,               0.023626,                0.03279,               0.001489,                0.92495,                  0.904,                0.94834,                0.75602,                0.91665,                0.89602,                0.93384,                0.71256,                0.02235,               0.020566,               0.025854,             0.00077483,               0.008614,               0.008614,               0.008614
                     72,                0.02491,               0.023513,               0.032644,              0.0014789,                0.91971,                0.91081,                0.94912,                0.76034,                 0.9217,                0.89125,                0.93424,                0.72425,               0.021747,                0.02082,               0.026161,             0.00092048,              0.0085942,              0.0085942,              0.0085942
                     73,               0.025324,               0.023341,               0.032323,               0.001552,                0.90339,                0.92202,                0.94846,                0.76383,                0.90159,                0.90165,                0.93276,                0.72198,               0.021639,               0.020239,               0.025744,              0.0011824,              0.0085744,              0.0085744,              0.0085744
                     74,               0.025144,               0.023789,               0.032554,              0.0016694,                0.92435,                0.90796,                0.95056,                0.76936,                0.91928,                0.89696,                0.93708,                0.72844,               0.021408,               0.020249,               0.025921,              0.0010955,              0.0085546,              0.0085546,              0.0085546
                     75,               0.025037,               0.023839,               0.032518,              0.0015189,                0.91748,                0.91842,                0.95013,                0.76054,                 0.9095,                0.90571,                0.93622,                0.72097,               0.021957,               0.020608,               0.025658,             0.00078387,              0.0085348,              0.0085348,              0.0085348
                     76,               0.025038,               0.023651,               0.033166,              0.0015579,                0.92182,                0.90775,                0.95207,                0.75962,                0.91541,                0.89406,                0.93418,                0.71959,                0.02172,               0.020717,               0.025782,              0.0016398,               0.008515,               0.008515,               0.008515
                     77,               0.025059,               0.023343,               0.032409,              0.0015981,                0.92779,                0.91662,                0.95478,                0.77441,                0.92192,                0.90846,                0.94231,                 0.7337,               0.021404,               0.019997,               0.025623,              0.0010315,              0.0084952,              0.0084952,              0.0084952
                     78,               0.024618,               0.023729,               0.032253,               0.001594,                0.92759,                0.92021,                0.95607,                0.76793,                0.91716,                0.90995,                0.94069,                0.72623,               0.021098,               0.019693,               0.024431,             0.00074658,              0.0084754,              0.0084754,              0.0084754
                     79,               0.025051,               0.023768,               0.032595,              0.0014108,                0.92992,                0.91839,                0.95286,                0.77029,                 0.9209,                0.90208,                0.93777,                0.72877,               0.021387,               0.020486,               0.025532,              0.0017602,              0.0084556,              0.0084556,              0.0084556
                     80,                0.02468,               0.022851,               0.031669,              0.0015217,                0.92616,                0.91691,                0.95276,                0.76978,                0.91942,                0.90458,                0.94074,                0.73217,               0.021474,               0.020179,               0.025068,             0.00086608,              0.0084358,              0.0084358,              0.0084358
                     81,               0.024827,               0.023337,               0.031846,              0.0014252,                0.92801,                0.91991,                0.95366,                0.76771,                  0.916,                 0.9081,                0.93783,                 0.7337,               0.021177,               0.020149,               0.024393,             0.00078728,               0.008416,               0.008416,               0.008416
                     82,               0.024672,               0.023192,               0.031769,              0.0015705,                0.92761,                0.91824,                0.95233,                0.76972,                0.91307,                0.90731,                0.93505,                0.72277,               0.021186,               0.020302,                0.02553,              0.0017239,              0.0083962,              0.0083962,              0.0083962
                     83,               0.024618,               0.023283,               0.032317,               0.001542,                0.91863,                0.92232,                0.95341,                0.77385,                0.90855,                0.91278,                0.93963,                0.73408,               0.021364,               0.020076,                0.02586,               0.001435,              0.0083764,              0.0083764,              0.0083764
                     84,               0.024769,               0.022621,               0.031993,              0.0014868,                0.91747,                0.92096,                0.95225,                0.76625,                0.90859,                0.91192,                0.93976,                 0.7359,               0.021036,               0.020527,               0.024751,             0.00086064,              0.0083566,              0.0083566,              0.0083566
                     85,               0.024592,               0.022857,               0.031531,              0.0015269,                0.92684,                0.90786,                0.95053,                0.76659,                0.92247,                0.89652,                0.93507,                   0.72,               0.021212,               0.020699,               0.026062,             0.00093221,              0.0083368,              0.0083368,              0.0083368
                     86,               0.024469,               0.022833,               0.031658,               0.001445,                  0.934,                0.90736,                0.95526,                 0.7748,                0.92735,                0.88987,                0.94022,                0.73787,               0.021046,               0.020398,               0.025157,              0.0023207,               0.008317,               0.008317,               0.008317
                     87,                0.02441,               0.023379,               0.031966,              0.0015305,                0.94281,                 0.9047,                0.95394,                0.77476,                0.93392,                0.89639,                0.93792,                0.72908,               0.020999,               0.020389,               0.025035,              0.0016173,              0.0082972,              0.0082972,              0.0082972
                     88,               0.024232,               0.022942,               0.031614,              0.0016361,                0.93051,                0.91455,                 0.9569,                0.77973,                0.92251,                0.90679,                0.94464,                0.74026,               0.020675,               0.019871,               0.024988,             0.00084644,              0.0082774,              0.0082774,              0.0082774
                     89,               0.024576,               0.022892,               0.031884,              0.0014032,                0.93797,                0.90982,                0.95637,                0.78126,                0.93025,                0.90229,                0.94335,                0.74223,               0.020476,               0.019827,               0.024574,              0.0010554,              0.0082576,              0.0082576,              0.0082576
                     90,               0.023973,               0.023206,               0.031447,              0.0015148,                 0.9257,                0.91778,                0.95454,                0.77752,                0.92011,                0.90824,                0.94074,                0.73852,                0.02063,               0.019796,               0.025364,             0.00095971,              0.0082378,              0.0082378,              0.0082378
                     91,               0.024138,               0.023026,               0.031616,              0.0014532,                0.93391,                0.91175,                0.95681,                0.76896,                0.92505,                0.90379,                0.94265,                0.73802,               0.021084,                0.02007,               0.024469,                0.00162,               0.008218,               0.008218,               0.008218
                     92,               0.024377,               0.022654,               0.031384,              0.0013991,                 0.9265,                0.92062,                0.95733,                0.77743,                0.91388,                0.91299,                0.94225,                0.73525,               0.020731,               0.019422,               0.024178,             0.00070861,              0.0081982,              0.0081982,              0.0081982
